name;content;description;steps;mood;location;duration;image_key;preparation_seconds;repeat_mode;execution_plan
Respiration calme — souffle posé;Ralentis ton souffle quelques minutes.;Une activité simple pour diminuer les sollicitations et retrouver un peu de calme.;1) Installe-toi confortablement. 2) Inspire lentement par le nez. 3) Expire un peu plus longtemps. 4) Continue sans forcer jusqu'à la fin.;En forme;Maison;5;wellbeing;30;until_duration;"{""version"":1,""preparation_seconds"":30,""target_duration_seconds"":300,""repeat_mode"":""until_duration"",""default_rest_seconds"":10,""steps"":[{""kind"":""instruction"",""text"":""Installe-toi confortablement et relâche les épaules."",""duration_seconds"":30,""auto_advance"":true,""loop"":false},{""kind"":""exercise"",""text"":""Inspire lentement par le nez."",""duration_seconds"":4,""auto_advance"":true,""loop"":true},{""kind"":""exercise"",""text"":""Expire doucement, un peu plus longtemps."",""duration_seconds"":6,""auto_advance"":true,""loop"":true},{""kind"":""rest"",""text"":""Respire naturellement quelques instants."",""duration_seconds"":10,""auto_advance"":true,""loop"":true},{""kind"":""cooldown"",""text"":""Reprends tes repères doucement."",""duration_seconds"":30,""auto_advance"":true,""loop"":false}]}"
Pause hydratation — rythme doux;Baisse le niveau de stimulation autour de toi.;Une activité pensée pour récupérer mentalement sans avoir à produire quoi que ce soit.;1) Pose ce que tu fais. 2) Réduis les distractions si possible. 3) Regarde un point fixe ou ferme les yeux. 4) Reprends doucement.;Mitigé;Maison;5;wellbeing;30;until_duration;"{""version"":1,""preparation_seconds"":30,""target_duration_seconds"":300,""repeat_mode"":""until_duration"",""default_rest_seconds"":15,""steps"":[{""kind"":""instruction"",""text"":""Installe-toi dans une position confortable."",""duration_seconds"":30,""auto_advance"":true,""loop"":false},{""kind"":""exercise"",""text"":""Reste au calme, sans chercher à faire autre chose."",""duration_seconds"":60,""auto_advance"":true,""loop"":true},{""kind"":""rest"",""text"":""Relâche le visage, les épaules et la mâchoire."",""duration_seconds"":30,""auto_advance"":true,""loop"":true},{""kind"":""cooldown"",""text"":""Reviens doucement à ce qui t'entoure."",""duration_seconds"":30,""auto_advance"":true,""loop"":false}]}"
Verre d'eau posé — calme intérieur;Hydrate-toi sans te presser.;Un geste simple de soin, utile quand tu veux te poser sans lancer une activité longue.;1) Prends de l'eau ou une boisson simple. 2) Bois lentement. 3) Fais une pause entre les gorgées. 4) Termine sans te presser.;À plat;Maison;5;wellbeing;15;until_duration;"{""version"":1,""preparation_seconds"":15,""target_duration_seconds"":300,""repeat_mode"":""until_duration"",""default_rest_seconds"":30,""steps"":[{""kind"":""instruction"",""text"":""Prends de l'eau ou une boisson simple si tu en as une."",""duration_seconds"":30,""auto_advance"":true,""loop"":false},{""kind"":""exercise"",""text"":""Bois quelques gorgées lentement."",""duration_seconds"":30,""auto_advance"":true,""loop"":true},{""kind"":""rest"",""text"":""Fais une courte pause entre les gorgées."",""duration_seconds"":30,""auto_advance"":true,""loop"":true},{""kind"":""cooldown"",""text"":""Termine tranquillement et reprends ton rythme."",""duration_seconds"":30,""auto_advance"":true,""loop"":false}]}"
Confort immédiat — retour au calme;Installe-toi dans une position plus agréable.;Un petit ajustement pour rendre le moment présent plus agréable.;1) Identifie une gêne simple. 2) Ajuste ta posture, la lumière ou le bruit si possible. 3) Garde ce qui te soulage. 4) Ne cherche pas à tout changer. Si l'endroit n'est pas assez calme, garde seulement la partie la plus discrète de l'activité.;En forme;Extérieur;5;wellbeing;30;until_duration;"{""version"":1,""preparation_seconds"":30,""target_duration_seconds"":300,""repeat_mode"":""until_duration"",""default_rest_seconds"":20,""steps"":[{""kind"":""instruction"",""text"":""Repère une petite source d'inconfort."",""duration_seconds"":30,""auto_advance"":true,""loop"":false},{""kind"":""exercise"",""text"":""Ajuste ta posture, ton éclairage ou ton environnement."",""duration_seconds"":60,""auto_advance"":true,""loop"":true},{""kind"":""rest"",""text"":""Reste quelques instants pour sentir si c'est mieux."",""duration_seconds"":30,""auto_advance"":true,""loop"":true},{""kind"":""cooldown"",""text"":""Garde uniquement l'ajustement qui t'aide."",""duration_seconds"":20,""auto_advance"":true,""loop"":false}]}"
Pause sans écran — pause légère;Coupe les sollicitations numériques quelques minutes.;Un moment simple pour laisser ton attention respirer.;1) Mets ton téléphone en silencieux si possible. 2) Pose-le hors de vue. 3) Reste quelques minutes sans écran. 4) Reprends uniquement si nécessaire. Si l'endroit n'est pas assez calme, garde seulement la partie la plus discrète de l'activité.;Mitigé;Extérieur;5;wellbeing;30;until_duration;"{""version"":1,""preparation_seconds"":30,""target_duration_seconds"":300,""repeat_mode"":""until_duration"",""default_rest_seconds"":20,""steps"":[{""kind"":""instruction"",""text"":""Mets ton téléphone en silencieux ou éloigne l'écran si possible."",""duration_seconds"":30,""auto_advance"":true,""loop"":false},{""kind"":""exercise"",""text"":""Reste sans écran et laisse ton attention se reposer."",""duration_seconds"":60,""auto_advance"":true,""loop"":true},{""kind"":""rest"",""text"":""Regarde autour de toi ou ferme les yeux quelques instants."",""duration_seconds"":30,""auto_advance"":true,""loop"":true},{""kind"":""cooldown"",""text"":""Reprends seulement ce qui est nécessaire."",""duration_seconds"":20,""auto_advance"":true,""loop"":false}]}"
Soin des mains — esprit clair;Relâche une tension à la fois.;Un temps court pour relâcher le corps et l'attention sans effort particulier.;1) Pose tes mains. 2) Relâche le visage. 3) Respire doucement. 4) Laisse passer quelques minutes sans objectif. Si l'endroit n'est pas assez calme, garde seulement la partie la plus discrète de l'activité.;À plat;Extérieur;5;wellbeing;15;until_duration;"{""version"":1,""preparation_seconds"":15,""target_duration_seconds"":300,""repeat_mode"":""until_duration"",""default_rest_seconds"":20,""steps"":[{""kind"":""instruction"",""text"":""Installe-toi dans la position la moins fatigante possible."",""duration_seconds"":30,""auto_advance"":true,""loop"":false},{""kind"":""exercise"",""text"":""Relâche les épaules, le visage et la mâchoire."",""duration_seconds"":45,""auto_advance"":true,""loop"":true},{""kind"":""rest"",""text"":""Reste quelques instants sans sollicitation."",""duration_seconds"":45,""auto_advance"":true,""loop"":true},{""kind"":""cooldown"",""text"":""Reprends très progressivement."",""duration_seconds"":30,""auto_advance"":true,""loop"":false}]}"
Mains détendues — relâchement progressif;Accorde-toi un court moment de répit.;Une pause de récupération qui ne demande ni matériel, ni préparation.;1) Pose tes mains. 2) Relâche le visage. 3) Respire doucement. 4) Laisse passer quelques minutes sans objectif. Si tu es en transport ou entouré, fais la version discrète sans gestes visibles.;En forme;N'importe où;5;wellbeing;30;until_duration;"{""version"":1,""preparation_seconds"":30,""target_duration_seconds"":300,""repeat_mode"":""until_duration"",""default_rest_seconds"":20,""steps"":[{""kind"":""instruction"",""text"":""Installe-toi dans la position la moins fatigante possible."",""duration_seconds"":30,""auto_advance"":true,""loop"":false},{""kind"":""exercise"",""text"":""Relâche les épaules, le visage et la mâchoire."",""duration_seconds"":45,""auto_advance"":true,""loop"":true},{""kind"":""rest"",""text"":""Reste quelques instants sans sollicitation."",""duration_seconds"":45,""auto_advance"":true,""loop"":true},{""kind"":""cooldown"",""text"":""Reprends très progressivement."",""duration_seconds"":30,""auto_advance"":true,""loop"":false}]}"
Pause souffle — confort simple;Reviens doucement à une respiration régulière.;Une pause accessible, adaptée aux moments où tu veux ralentir sans t'isoler complètement.;1) Relâche les épaules. 2) Inspire doucement. 3) Expire lentement. 4) Garde un rythme confortable. 5) Reprends progressivement. Si tu es en transport ou entouré, fais la version discrète sans gestes visibles.;Mitigé;N'importe où;5;wellbeing;30;until_duration;"{""version"":1,""preparation_seconds"":30,""target_duration_seconds"":300,""repeat_mode"":""until_duration"",""default_rest_seconds"":10,""steps"":[{""kind"":""instruction"",""text"":""Installe-toi confortablement et relâche les épaules."",""duration_seconds"":30,""auto_advance"":true,""loop"":false},{""kind"":""exercise"",""text"":""Inspire lentement par le nez."",""duration_seconds"":4,""auto_advance"":true,""loop"":true},{""kind"":""exercise"",""text"":""Expire doucement, un peu plus longtemps."",""duration_seconds"":6,""auto_advance"":true,""loop"":true},{""kind"":""rest"",""text"":""Respire naturellement quelques instants."",""duration_seconds"":10,""auto_advance"":true,""loop"":true},{""kind"":""cooldown"",""text"":""Reprends tes repères doucement."",""duration_seconds"":30,""auto_advance"":true,""loop"":false}]}"
Rafraîchissement — récupération courte;Offre-toi une vraie coupure calme.;Une pause douce qui peut se faire presque partout, même avec peu d'énergie.;1) Trouve une position confortable. 2) Relâche le visage. 3) Laisse passer quelques minutes sans sollicitation. 4) Termine tranquillement. Si tu es en transport ou entouré, fais la version discrète sans gestes visibles.;À plat;N'importe où;5;wellbeing;15;until_duration;"{""version"":1,""preparation_seconds"":15,""target_duration_seconds"":300,""repeat_mode"":""until_duration"",""default_rest_seconds"":15,""steps"":[{""kind"":""instruction"",""text"":""Installe-toi dans une position confortable."",""duration_seconds"":30,""auto_advance"":true,""loop"":false},{""kind"":""exercise"",""text"":""Reste au calme, sans chercher à faire autre chose."",""duration_seconds"":60,""auto_advance"":true,""loop"":true},{""kind"":""rest"",""text"":""Relâche le visage, les épaules et la mâchoire."",""duration_seconds"":30,""auto_advance"":true,""loop"":true},{""kind"":""cooldown"",""text"":""Reviens doucement à ce qui t'entoure."",""duration_seconds"":30,""auto_advance"":true,""loop"":false}]}"
Gorgées lentes — douceur immédiate;Fais une pause autour d'une boisson simple.;Un geste simple de soin, utile quand tu veux te poser sans lancer une activité longue.;1) Prépare une boisson si tu peux. 2) Si ce n'est pas possible, prends simplement quelques gorgées dès que tu peux. 3) Bois calmement.;En forme;Maison;15;wellbeing;30;until_duration;"{""version"":1,""preparation_seconds"":30,""target_duration_seconds"":900,""repeat_mode"":""until_duration"",""default_rest_seconds"":30,""steps"":[{""kind"":""instruction"",""text"":""Prends de l'eau ou une boisson simple si tu en as une."",""duration_seconds"":30,""auto_advance"":true,""loop"":false},{""kind"":""exercise"",""text"":""Bois quelques gorgées lentement."",""duration_seconds"":30,""auto_advance"":true,""loop"":true},{""kind"":""rest"",""text"":""Fais une courte pause entre les gorgées."",""duration_seconds"":30,""auto_advance"":true,""loop"":true},{""kind"":""cooldown"",""text"":""Termine tranquillement et reprends ton rythme."",""duration_seconds"":30,""auto_advance"":true,""loop"":false}]}"
